Date,"Country Specific Keywords",Impression,Clicks,Cost,Avg.CPC,Conversion,"View Through Conversion"
12-Apr,AFGHANISTAN,108024,264,29.48,0.11,34,25
12-Apr,ANGOLA,0,0,0,0,0,0
12-Apr,ANGUILLA,125693,59,6.32,0.11,0,0
12-Apr,ANTIGUA,9132,15,1.28,0.09,0,0
12-Apr,ARMENIA,11972,35,1.25,0.04,0,0
12-Apr,AUSTRALIA,3419,1,0.29,0.29,0,0
12-Apr,AZERBAIJAN,0,0,0,0,0,0
12-Apr,BAHAMAS,329118,588,97.84,0.17,24,20
12-Apr,BAHRAIN,179544,248,30.47,0.12,11,10
12-Apr,BANGLADESH,564979,829,87.72,0.11,34,26
12-Apr,BARBADOS,47672,68,4.67,0.07,1,1
12-Apr,BENIN,74458,128,17.38,0.14,24,11
12-Apr,BERMUDA,0,0,0,0,0,0
12-Apr,BOLIVIA,2940148,4359,361.26,0.08,332,273
12-Apr,BOTSWANA,24002,29,1.78,0.26,0,0
12-Apr,"BRITISH VIRGIN ISLANDS",2536948,4265,259.25,0.06,104,92
12-Apr,BRUNEI,0,0,0,0,0,0
12-Apr,BURUNDI,511,0,0,0,0,0
12-Apr,CAMBODIA,0,0,0,0,0,0
12-Apr,CAMEROON,156182,382,47.84,0.13,47,44
12-Apr,CANADA,0,0,0,0,0,0
12-Apr,CAYMAN,16927,19,1.96,0.1,0,0
12-Apr,CHILE,295974,374,40.67,0.32,0,0
12-Apr,CONGO,130065,286,30.37,0.11,7,7
12-Apr,"COSTA RICA",98612,118,9.63,0.08,1,1
12-Apr,"COTE D'IVOIRE",0,0,0,0,0,0
12-Apr,CYPRUS,147437,89,10.07,0.11,8,6
12-Apr,DENMARK,876,1,0.15,0.15,0,0
12-Apr,DJIBOUTI,0,0,0,0,0,0
12-Apr,DOMINICA,91519,206,20.95,0.1,10,9
12-Apr,"DOMINICAN REPUBLIC",0,0,0,0,0,0
12-Apr,"DR CONGO",73221,7,0.67,0.1,0,0
12-Apr,DURBAN,4437,2,0.72,0.36,2,1
12-Apr,EGYPT,207778,414,30.41,0.07,29,20
12-Apr,ENGLAND,967123,61,14.49,0.24,5,4
12-Apr,ETHIOPIA,73210,292,30.5,0.1,12,11
12-Apr,FIJI,46733,68,8.21,0.12,5,5
12-Apr,FINLAND,1841,2,0.1,0.05,0,0
12-Apr,FRANCE,34044,28,2.43,0.09,0,0
12-Apr,GABON,40980,80,8.79,0.11,5,5
12-Apr,GEORGIA,1964901,2359,228.99,0.1,60,41
12-Apr,GERMANY,214466,217,27.75,0.13,13,7
12-Apr,GHANA,1274924,3698,392.06,0.11,356,286
12-Apr,GRENADA,21045,28,2.76,0.1,3,2
12-Apr,GUATEMALA,4320170,5135,450.49,0.09,138,118
12-Apr,GUYANA,9082,24,4.9,0.34,0,0
12-Apr,HAITI,0,0,0,0,0,0
12-Apr,HONDURAS,143373,343,30.4,0.09,15,12
12-Apr,"HONG KONG",0,0,0,0,0,0
12-Apr,INDONESIA,267599,522,30.46,0.06,16,13
12-Apr,IRELAND,0,0,0,0,0,0
12-Apr,JAMAICA,142023,360,25.15,0.3,0,0
12-Apr,JAPAN,0,0,0,0,0,0
12-Apr,JORDAN,305165,390,30.58,0.08,24,20
12-Apr,KAZAKHSTAN,200808,243,17.41,0.07,2,1
12-Apr,KENYA,1128002,1596,298.28,0.19,108,90
12-Apr,KIRIBATI,13110,45,7.61,0.17,4,3
12-Apr,KUWAIT,0,0,0,0,0,0
12-Apr,KYRGYZSTAN,308909,593,61.34,0.1,16,14
12-Apr,LEBANON,191195,282,30.45,0.11,15,13
12-Apr,LESOTHO,0,0,0,0,0,0
12-Apr,LIBYA,220301,640,30.4,0.05,0,0
12-Apr,MADAGASCAR,0,0,0,0,0,0
12-Apr,MALAWI,30544,93,16.52,0.18,5,5
12-Apr,MALAYSIA,337453,572,55.35,0.1,18,14
12-Apr,MALTA,288940,140,10.18,0.07,8,8
12-Apr,MAURITIUS,705925,786,89.18,0.11,44,39
12-Apr,MEXICO,306387,379,22.98,0.06,0,0
12-Apr,MICRONESIA,12323,28,4.51,0.16,2,2
12-Apr,MONGOLIA,567716,1459,159.99,0.21,62,58
12-Apr,MOZAMBIQUE,139604,178,34.83,0.2,18,15
12-Apr,NAMIBIA,392244,534,70.28,0.13,30,26
12-Apr,"NETHERLANDS ANTILLES",0,0,0,0,0,0
12-Apr,"NEW ZEALAND",37538,56,14.87,0.27,3,3
12-Apr,NICARAGUA,199671,337,30.38,0.09,13,9
12-Apr,NIGERIA,244690,1227,119.44,0.1,229,182
12-Apr,NORWAY,0,0,0,0,0,0
12-Apr,PAKISTAN,169283,658,30.89,0.05,40,36
12-Apr,PALAU,2115,8,1.19,0.15,1,1
12-Apr,PANAMA,171626,368,30.38,0.08,10,9
12-Apr,"PAPUA NEW GUINEA",13292,23,3.67,0.16,3,3
12-Apr,PARAGUAY,1194455,2791,217.52,0.08,99,74
12-Apr,PERU,125877,198,7.43,0.04,0,0
12-Apr,PHILIPPINES,355466,433,30.48,0.07,20,19
12-Apr,"RC CONGO",0,0,0,0,0,0
12-Apr,RUSSIA,1793062,2455,228.23,0.09,48,38
12-Apr,RWANDA,46289,153,17.12,0.11,0,0
12-Apr,SAMOA,14048,16,2.82,0.18,1,1
12-Apr,"SAUDI ARABIA",125716,429,30.79,0.07,20,16
12-Apr,SENEGAL,74328,97,10.93,0.11,9,8
12-Apr,"SIERRA LEONE",41409,136,16.54,0.12,9,8
12-Apr,SINGAPORE,2114,4,0.39,0.1,0,0
12-Apr,"SOLOMON ISLANDS",28517,67,11.6,0.17,3,3
12-Apr,SOMALIA,0,0,0,0,0,0
12-Apr,"SOUTH AFRICA",2774,64,8.54,0.13,1,1
12-Apr,"SOUTH KOREA",214351,287,14.2,0.05,2,2
12-Apr,"SRI LANKA",3687422,4619,356.74,0.08,141,121
12-Apr,STKITTS,5608,5,0.42,0.08,0,0
12-Apr,STLUCIA,80688,134,19.59,0.15,9,8
12-Apr,STVINCENT,31956,81,7.8,0.1,7,6
12-Apr,SURINAME,26542,60,3.83,0.06,1,1
12-Apr,SWAZILAND,0,0,0,0,0,0
12-Apr,SWEDEN,10825,16,1.4,0.09,0,0
12-Apr,TAJIKISTAN,87452,169,15.29,0.09,2,2
12-Apr,TANZANIA,91259,135,17.39,0.4,2,2
12-Apr,THAILAND,999081,1233,68.08,0.06,12,11
12-Apr,TOGO,0,0,0,0,0,0
12-Apr,TONGA,0,0,0,0,0,0
12-Apr,TRINIDAD,172776,168,8.13,0.05,0,0
12-Apr,TUNISIA,213281,556,28.85,0.05,6,5
12-Apr,TURKEY,81141,114,5.84,0.05,0,0
12-Apr,TURKMENISTAN,48028,94,7.24,0.08,2,2
12-Apr,"TURKS AND CAICOS ISLANDS",130822,176,32.88,0.19,6,5
12-Apr,UAE,146955,419,30.21,0.07,0,0
12-Apr,UGANDA,223787,465,37.25,0.5,1,1
12-Apr,"UNITED STATES OF AMERICA",5144,13,2,0.15,0,0
12-Apr,VIETNAM,0,0,0,0,0,0
12-Apr,"VIRGIN ISLAND",25991,55,5.72,0.1,0,0
12-Apr,ZAMBIA,179385,444,41.06,0.5,8,8
12-Apr,ZIMBABWE,193453,236,26.17,0.11,0,0
12-Apr,All-Search-Campaign,0,0,0,0,0,0
12-Apr,Brands-keywords,0,0,0,0,0,0
12-Apr,"NETHERLAND ANTILLES",244862,337,34.92,0.1,14,13
12-Apr,Import-With-Country-name-1,0,0,0,0,0,0
12-Apr,"UPLOADING GROUPS",0,0,0,0,0,0
12-Apr,Import-with-Country-names-1,0,0,0,0,0,0
12-Apr,"COUNTRY SPECIFIC KEYWORDS",0,0,0,0,0,0
12-Apr,"COTE DIVOIRE",0,0,0,0,0,0
12-Apr,"MOM RECEPIES",0,0,0,0,0,0
12-Apr,Hong-Kong-Search,0,0,0,0,0,0
12-Apr,Keywords-For-Content,0,0,0,0,0,0
12-Apr,Pre-Owned-Combination,0,0,0,0,0,0
12-Apr,"TURKS AND CAICOS ISLAND",0,0,0,0,0,0
12-Apr,"TEST 1",0,0,0,0,0,0
